+--------+-----------+----------+------------------+--------------+-------------------------------+----------------+-------------------------------+--------------+
|   Best |     Epoch |   Trades |    Win Draw Loss |   Avg profit |                        Profit |   Avg duration |                  Max Drawdown |    Objective |
|        | 1126/2000 |      232 |    139    0   93 |        1.25% |      5810.292 USDT  (145.26%) |        4:16:00 |       837.205 USDT   (41.82%) | -5,810.29177 |
|        | 1127/2000 |      169 |    109    0   60 |        1.44% |      4879.825 USDT  (122.00%) |        4:10:00 |       849.442 USDT   (42.43%) | -4,879.82458 |
|        | 1128/2000 |      397 |    219    0  178 |        0.63% |      5044.477 USDT  (126.11%) |        3:20:00 |       727.724 USDT   (36.35%) | -5,044.47669 |
|        | 1129/2000 |      267 |    150    0  117 |        0.87% |      4666.584 USDT  (116.66%) |        4:22:00 |      1135.565 USDT   (56.72%) | -4,666.58392 |
|        | 1130/2000 |      203 |    124    0   79 |        1.35% |      5496.552 USDT  (137.41%) |        4:28:00 |       895.342 USDT   (44.72%) | -5,496.55189 |
|        | 1131/2000 |      221 |    131    0   90 |        1.20% |      5297.832 USDT  (132.45%) |        4:15:00 |       912.807 USDT   (45.59%) | -5,297.83211 |
|        | 1132/2000 |      260 |    150    0  110 |        0.85% |      4448.329 USDT  (111.21%) |        6:00:00 |       914.345 USDT   (45.67%) | -4,448.32851 |
|        | 1133/2000 |      335 |    194    0  141 |        0.85% |      5673.414 USDT  (141.84%) |        5:11:00 |       974.181 USDT   (48.66%) | -5,673.41393 |
|        | 1134/2000 |      280 |    160    0  120 |        0.76% |      4254.141 USDT  (106.35%) |        5:54:00 |       813.030 USDT   (40.61%) | -4,254.14052 |
|        | 1135/2000 |      233 |    142    0   91 |        1.21% |      5632.141 USDT  (140.80%) |        4:07:00 |       902.526 USDT   (45.08%) | -5,632.14149 |
|        | 1136/2000 |      286 |    164    0  122 |        0.91% |      5217.260 USDT  (130.43%) |        6:06:00 |       933.715 USDT   (46.64%) | -5,217.25990 |
|        | 1137/2000 |      206 |    117    0   89 |        1.36% |      5614.810 USDT  (140.37%) |        5:39:00 |       820.883 USDT   (41.00%) | -5,614.81037 |
|        | 1138/2000 |      210 |    131    0   79 |        1.23% |      5178.775 USDT  (129.47%) |        3:47:00 |       804.485 USDT   (40.18%) | -5,178.77475 |
|        | 1139/2000 |      268 |    117    0  151 |       -0.39% |     -2079.790 USDT  (-51.99%) |        7:56:00 |      2398.412 USDT  (119.80%) |  2,079.78987 |
|        | 1140/2000 |      400 |    180    0  220 |       -0.07% |      -571.632 USDT  (-14.29%) |        8:16:00 |      1712.304 USDT   (85.53%) |    571.63159 |
|        | 1141/2000 |      178 |    109    0   69 |        1.34% |      4784.842 USDT  (119.62%) |        4:29:00 |       888.395 USDT   (44.38%) | -4,784.84243 |
|        | 1142/2000 |      290 |    161    0  129 |        0.78% |      4520.695 USDT  (113.02%) |        3:40:00 |       842.731 USDT   (42.09%) | -4,520.69510 |
|        | 1143/2000 |      176 |    110    0   66 |        1.59% |      5618.755 USDT  (140.47%) |        5:06:00 |       830.159 USDT   (41.47%) | -5,618.75504 |
|        | 1144/2000 |      161 |    102    0   59 |        1.61% |      5184.162 USDT  (129.60%) |        5:07:00 |       849.854 USDT   (42.45%) | -5,184.16169 |
|        | 1145/2000 |      352 |    205    0  147 |        0.77% |      5448.282 USDT  (136.21%) |        3:13:00 |       810.871 USDT   (40.50%) | -5,448.28173 |
|        | 1146/2000 |      324 |    190    0  134 |        0.80% |      5202.954 USDT  (130.07%) |        3:21:00 |       786.937 USDT   (39.31%) | -5,202.95365 |
|        | 1147/2000 |      204 |    125    0   79 |        1.47% |      5995.535 USDT  (149.89%) |        4:26:00 |       824.218 USDT   (41.17%) | -5,995.53450 |
|        | 1148/2000 |      423 |    234    0  189 |        0.63% |      5298.982 USDT  (132.47%) |        3:13:00 |       951.079 USDT   (47.51%) | -5,298.98204 |
|        | 1149/2000 |      303 |    173    0  130 |        0.70% |      4235.255 USDT  (105.88%) |        3:33:00 |       959.043 USDT   (47.90%) | -4,235.25510 |
|        | 1150/2000 |      401 |    214    0  187 |        0.57% |      4576.585 USDT  (114.41%) |        3:32:00 |      1049.820 USDT   (52.44%) | -4,576.58544 |
|        | 1151/2000 |      165 |    102    0   63 |        1.42% |      4689.953 USDT  (117.25%) |        5:16:00 |       575.932 USDT   (28.77%) | -4,689.95327 |
|        | 1152/2000 |      398 |    211    0  187 |        0.59% |      4711.557 USDT  (117.79%) |        3:26:00 |      1056.736 USDT   (52.78%) | -4,711.55651 |
|        | 1153/2000 |      300 |    166    0  134 |        0.67% |      4048.096 USDT  (101.20%) |        3:37:00 |       726.939 USDT   (36.31%) | -4,048.09615 |
|        | 1154/2000 |      279 |    165    0  114 |        1.20% |      6727.068 USDT  (168.18%) |        4:09:00 |       894.529 USDT   (44.68%) | -6,727.06826 |
|        | 1155/2000 |      143 |     96    0   47 |        1.87% |      5345.735 USDT  (133.64%) |        4:51:00 |       815.271 USDT   (40.72%) | -5,345.73506 |
|        | 1156/2000 |      218 |    138    0   80 |        1.24% |      5432.328 USDT  (135.81%) |        5:37:00 |       692.877 USDT   (34.61%) | -5,432.32801 |
|        | 1157/2000 |      207 |    125    0   82 |        0.99% |      4082.827 USDT  (102.07%) |        5:35:00 |       918.112 USDT   (45.86%) | -4,082.82738 |
|        | 1158/2000 |      336 |    193    0  143 |        0.65% |      4379.009 USDT  (109.48%) |        4:08:00 |       841.610 USDT   (42.04%) | -4,379.00897 |
|        | 1159/2000 |      164 |     95    0   69 |        0.75% |      2463.038 USDT   (61.58%) |        5:29:00 |      1078.905 USDT   (53.89%) | -2,463.03823 |
|        | 1160/2000 |      360 |    194    0  166 |        0.59% |      4254.715 USDT  (106.37%) |        3:31:00 |       839.955 USDT   (41.96%) | -4,254.71528 |
|        | 1161/2000 |      154 |     96    0   58 |        1.09% |      3362.892 USDT   (84.07%) |        5:11:00 |      1018.500 USDT   (50.87%) | -3,362.89244 |
|        | 1162/2000 |      272 |    163    0  109 |        0.87% |      4725.708 USDT  (118.14%) |        5:18:00 |       849.210 USDT   (42.42%) | -4,725.70762 |
|        | 1163/2000 |      455 |    267    0  188 |        0.54% |      4914.127 USDT  (122.85%) |        4:15:00 |      1279.038 USDT   (63.89%) | -4,914.12656 |
|        | 1164/2000 |      235 |    140    0   95 |        1.20% |      5661.400 USDT  (141.53%) |        3:54:00 |       894.705 USDT   (44.69%) | -5,661.39963 |
|        | 1165/2000 |      388 |    238    0  150 |        0.46% |      3540.624 USDT   (88.52%) |        5:26:00 |      1971.410 USDT   (98.47%) | -3,540.62436 |
|        | 1166/2000 |      188 |    117    0   71 |        1.49% |      5611.012 USDT  (140.28%) |        4:42:00 |       831.476 USDT   (41.53%) | -5,611.01243 |
|        | 1167/2000 |      325 |    190    0  135 |        0.50% |      3278.529 USDT   (81.96%) |        5:46:00 |      1699.201 USDT   (84.88%) | -3,278.52883 |
|        | 1168/2000 |      144 |     96    0   48 |        1.88% |      5434.170 USDT  (135.85%) |        4:43:00 |       871.863 USDT   (43.55%) | -5,434.16980 |
|        | 1169/2000 |      237 |    145    0   92 |        0.87% |      4136.877 USDT  (103.42%) |        4:13:00 |       733.716 USDT   (36.65%) | -4,136.87717 |
|        | 1170/2000 |      194 |    121    0   73 |        1.61% |      6261.192 USDT  (156.53%) |        4:56:00 |       790.344 USDT   (39.48%) | -6,261.19241 |
|        | 1171/2000 |      230 |     92    0  138 |       -0.44% |     -2025.196 USDT  (-50.63%) |        8:01:00 |      2303.167 USDT  (115.04%) |  2,025.19600 |
|        | 1172/2000 |      209 |    127    0   82 |        1.48% |      6208.062 USDT  (155.20%) |        4:17:00 |       645.550 USDT   (32.25%) | -6,208.06236 |
|        | 1173/2000 |      250 |    150    0  100 |        1.16% |      5795.542 USDT  (144.89%) |        5:51:00 |       954.089 USDT   (47.66%) | -5,795.54203 |
|        | 1174/2000 |      343 |    197    0  146 |        0.70% |      4829.430 USDT  (120.74%) |        4:55:00 |       837.026 USDT   (41.81%) | -4,829.43023 |
|        | 1175/2000 |      361 |    204    0  157 |        0.44% |      3144.169 USDT   (78.60%) |        4:43:00 |      1153.296 USDT   (57.61%) | -3,144.16854 |
|        | 1176/2000 |      351 |    204    0  147 |        0.83% |      5797.457 USDT  (144.94%) |        5:20:00 |       942.913 USDT   (47.10%) | -5,797.45665 |
|        | 1177/2000 |      210 |    122    0   88 |        1.16% |      4857.202 USDT  (121.43%) |        5:00:00 |      1094.418 USDT   (54.67%) | -4,857.20182 |
|        | 1178/2000 |      167 |    106    0   61 |        1.70% |      5676.624 USDT  (141.92%) |        5:07:00 |       849.854 USDT   (42.45%) | -5,676.62417 |
|        | 1179/2000 |      162 |    104    0   58 |        1.48% |      4807.359 USDT  (120.18%) |        4:57:00 |       726.939 USDT   (36.31%) | -4,807.35855 |
|        | 1180/2000 |      252 |    152    0  100 |        0.93% |      4682.903 USDT  (117.07%) |        5:23:00 |       847.762 USDT   (42.35%) | -4,682.90280 |
|        | 1181/2000 |      161 |    103    0   58 |        1.68% |      5416.937 USDT  (135.42%) |        5:08:00 |       849.854 USDT   (42.45%) | -5,416.93660 |
|        | 1182/2000 |      246 |    146    0  100 |        1.13% |      5579.591 USDT  (139.49%) |        3:57:00 |      1031.508 USDT   (51.52%) | -5,579.59104 |
|        | 1183/2000 |      105 |     77    0   28 |        2.33% |      4899.757 USDT  (122.49%) |        5:35:00 |       261.985 USDT   (13.09%) | -4,899.75700 |
|        | 1184/2000 |      254 |    152    0  102 |        0.99% |      5035.437 USDT  (125.89%) |        4:20:00 |       977.639 USDT   (48.83%) | -5,035.43750 |
|        | 1185/2000 |      401 |    218    0  183 |        0.68% |      5469.026 USDT  (136.73%) |        3:28:00 |       834.805 USDT   (41.70%) | -5,469.02636 |
|        | 1186/2000 |      204 |    131    0   73 |        1.41% |      5778.049 USDT  (144.45%) |        4:07:00 |       944.776 USDT   (47.19%) | -5,778.04940 |
|        | 1187/2000 |      283 |    179    0  104 |        1.13% |      6390.709 USDT  (159.77%) |        5:29:00 |       923.877 USDT   (46.15%) | -6,390.70874 |
|        | 1188/2000 |      304 |    178    0  126 |        0.96% |      5838.527 USDT  (145.96%) |        5:55:00 |       950.617 USDT   (47.48%) | -5,838.52710 |
|        | 1189/2000 |      219 |    132    0   87 |        1.18% |      5152.102 USDT  (128.80%) |        3:44:00 |       980.400 USDT   (48.97%) | -5,152.10204 |
|        | 1190/2000 |      171 |    110    0   61 |        1.76% |      6013.052 USDT  (150.33%) |        4:56:00 |       824.218 USDT   (41.17%) | -6,013.05169 |
|        | 1191/2000 |      143 |     97    0   46 |        1.76% |      5040.909 USDT  (126.02%) |        5:07:00 |      1108.029 USDT   (55.35%) | -5,040.90878 |
|        | 1192/2000 |      315 |    187    0  128 |        0.73% |      4634.603 USDT  (115.87%) |        3:17:00 |       819.112 USDT   (40.91%) | -4,634.60313 |
|        | 1193/2000 |      363 |    200    0  163 |        0.59% |      4306.331 USDT  (107.66%) |        3:17:00 |      1043.311 USDT   (52.11%) | -4,306.33124 |
|        | 1194/2000 |      158 |    103    0   55 |        1.62% |      5133.994 USDT  (128.35%) |        4:33:00 |       793.635 USDT   (39.64%) | -5,133.99385 |
|        | 1195/2000 |      174 |    113    0   61 |        1.72% |      5988.819 USDT  (149.72%) |        4:56:00 |       790.344 USDT   (39.48%) | -5,988.81926 |
|        | 1196/2000 |      439 |    236    0  203 |        0.55% |      4805.884 USDT  (120.15%) |        3:21:00 |      1002.990 USDT   (50.10%) | -4,805.88419 |
|        | 1197/2000 |      230 |    143    0   87 |        1.17% |      5384.644 USDT  (134.62%) |        4:19:00 |      1374.791 USDT   (68.67%) | -5,384.64350 |
|        | 1198/2000 |      281 |    162    0  119 |        1.04% |      5857.730 USDT  (146.44%) |        3:56:00 |      1007.356 USDT   (50.32%) | -5,857.72967 |
|        | 1199/2000 |      258 |    147    0  111 |        0.33% |      1702.549 USDT   (42.56%) |        6:02:00 |      1429.898 USDT   (71.42%) | -1,702.54920 |
|        | 1200/2000 |      311 |    182    0  129 |        0.78% |      4880.770 USDT  (122.02%) |        5:05:00 |       602.734 USDT   (30.11%) | -4,880.77036 |
|        | 1201/2000 |      210 |    129    0   81 |        1.18% |      4960.717 USDT  (124.02%) |        4:56:00 |       846.488 USDT   (42.28%) | -4,960.71719 |
|        | 1202/2000 |      265 |    158    0  107 |        1.10% |      5840.842 USDT  (146.02%) |        4:02:00 |       995.144 USDT   (49.71%) | -5,840.84237 |
|        | 1203/2000 |      456 |    233    0  223 |        0.46% |      4204.956 USDT  (105.12%) |        3:19:00 |      1053.535 USDT   (52.62%) | -4,204.95578 |
|        | 1204/2000 |      573 |    358    0  215 |        0.18% |      2065.935 USDT   (51.65%) |        4:03:00 |      2588.338 USDT  (129.29%) | -2,065.93539 |
|        | 1205/2000 |      148 |     98    0   50 |        1.92% |      5681.649 USDT  (142.04%) |        5:00:00 |       815.271 USDT   (40.72%) | -5,681.64941 |
|        | 1206/2000 |      680 |    410    0  270 |        0.15% |      2075.401 USDT   (51.89%) |        3:53:00 |      3070.772 USDT  (153.39%) | -2,075.40099 |
|        | 1207/2000 |      207 |    131    0   76 |        1.55% |      6407.467 USDT  (160.19%) |        4:46:00 |       782.359 USDT   (39.08%) | -6,407.46744 |
|        | 1208/2000 |      199 |    103    0   96 |        0.10% |       396.484 USDT    (9.91%) |        6:40:00 |      1053.487 USDT   (52.62%) |   -396.48364 |
|        | 1209/2000 |      217 |    119    0   98 |        0.28% |      1212.085 USDT   (30.30%) |        6:35:00 |       894.339 USDT   (44.67%) | -1,212.08453 |
|        | 1210/2000 |      389 |    212    0  177 |        0.47% |      3697.153 USDT   (92.43%) |        4:13:00 |       929.012 USDT   (46.40%) | -3,697.15342 |
|        | 1211/2000 |      258 |    155    0  103 |        1.16% |      5980.971 USDT  (149.52%) |        4:05:00 |      1033.761 USDT   (51.64%) | -5,980.97089 |
|        | 1212/2000 |      465 |    241    0  224 |        0.51% |      4791.986 USDT  (119.80%) |        3:27:00 |      1046.226 USDT   (52.26%) | -4,791.98564 |
|        | 1213/2000 |      230 |    143    0   87 |        1.17% |      5398.903 USDT  (134.97%) |        5:41:00 |       705.154 USDT   (35.22%) | -5,398.90347 |
|        | 1214/2000 |      178 |    115    0   63 |        1.63% |      5821.139 USDT  (145.53%) |        4:47:00 |       840.903 USDT   (42.00%) | -5,821.13930 |
|        | 1215/2000 |      287 |    165    0  122 |        1.06% |      6063.020 USDT  (151.58%) |        4:04:00 |       902.296 USDT   (45.07%) | -6,063.01969 |
|        | 1216/2000 |      420 |    230    0  190 |        0.64% |      5384.567 USDT  (134.61%) |        4:16:00 |      1032.684 USDT   (51.58%) | -5,384.56746 |
|        | 1217/2000 |      342 |    199    0  143 |        0.72% |      4963.836 USDT  (124.10%) |        4:33:00 |       871.904 USDT   (43.55%) | -4,963.83597 |
|        | 1218/2000 |      298 |    162    0  136 |        0.84% |      5008.960 USDT  (125.22%) |        4:09:00 |       750.408 USDT   (37.48%) | -5,008.96013 |
|        | 1219/2000 |      476 |    249    0  227 |        0.42% |      3966.243 USDT   (99.16%) |        3:11:00 |      1104.267 USDT   (55.16%) | -3,966.24312 |
|        | 1220/2000 |      342 |    189    0  153 |        0.69% |      4707.058 USDT  (117.68%) |        3:35:00 |      1032.945 USDT   (51.60%) | -4,707.05771 |
|        | 1221/2000 |      161 |    103    0   58 |        1.66% |      5364.711 USDT  (134.12%) |        5:00:00 |       849.145 USDT   (42.41%) | -5,364.71057 |
|        | 1222/2000 |      292 |    178    0  114 |        1.02% |      5973.710 USDT  (149.34%) |        5:31:00 |       953.562 USDT   (47.63%) | -5,973.70971 |
|        | 1223/2000 |      322 |    135    0  187 |       -0.31% |     -2022.581 USDT  (-50.56%) |        7:43:00 |      2428.729 USDT  (121.32%) |  2,022.58144 |
|        | 1224/2000 |      321 |    132    0  189 |       -0.28% |     -1820.817 USDT  (-45.52%) |        8:18:00 |      2507.533 USDT  (125.25%) |  1,820.81730 |
|        | 1225/2000 |      208 |    126    0   82 |        1.43% |      5954.459 USDT  (148.86%) |        4:46:00 |       748.945 USDT   (37.41%) | -5,954.45930 |
|        | 1226/2000 |      200 |    127    0   73 |        1.43% |      5724.328 USDT  (143.11%) |        4:18:00 |       976.972 USDT   (48.80%) | -5,724.32787 |
|        | 1227/2000 |      201 |    119    0   82 |        1.16% |      4679.760 USDT  (116.99%) |        5:17:00 |       864.727 USDT   (43.19%) | -4,679.75951 |
|        | 1228/2000 |      285 |    172    0  113 |        1.14% |      6501.328 USDT  (162.53%) |        5:54:00 |       810.906 USDT   (40.50%) | -6,501.32842 |
|        | 1229/2000 |      359 |    193    0  166 |        0.79% |      5707.106 USDT  (142.68%) |        4:10:00 |       852.783 USDT   (42.60%) | -5,707.10590 |
|        | 1230/2000 |      263 |    147    0  116 |        0.89% |      4707.841 USDT  (117.70%) |        4:15:00 |       851.723 USDT   (42.54%) | -4,707.84066 |
|        | 1231/2000 |      224 |    142    0   82 |        1.32% |      5905.585 USDT  (147.64%) |        3:55:00 |       685.038 USDT   (34.22%) | -5,905.58498 |
|        | 1232/2000 |      306 |    165    0  141 |        0.46% |      2812.817 USDT   (70.32%) |        3:53:00 |      1129.487 USDT   (56.42%) | -2,812.81735 |
|        | 1233/2000 |      294 |    161    0  133 |        0.60% |      3534.154 USDT   (88.35%) |        5:52:00 |       903.804 USDT   (45.15%) | -3,534.15434 |
|        | 1234/2000 |      189 |    118    0   71 |        0.99% |      3751.479 USDT   (93.79%) |        6:18:00 |       802.875 USDT   (40.10%) | -3,751.47901 |
|        | 1235/2000 |      241 |    149    0   92 |        1.36% |      6555.616 USDT  (163.89%) |        4:15:00 |       837.205 USDT   (41.82%) | -6,555.61619 |
|        | 1236/2000 |      147 |     96    0   51 |        1.91% |      5622.225 USDT  (140.56%) |        4:31:00 |       997.012 USDT   (49.80%) | -5,622.22503 |
|        | 1237/2000 |      236 |    131    0  105 |        0.87% |      4127.946 USDT  (103.20%) |        4:11:00 |       846.009 USDT   (42.26%) | -4,127.94621 |
|        | 1238/2000 |      161 |    101    0   60 |        1.57% |      5048.251 USDT  (126.21%) |        5:04:00 |       981.834 USDT   (49.04%) | -5,048.25124 |
|        | 1239/2000 |      251 |    154    0   97 |        1.09% |      5495.859 USDT  (137.40%) |        4:02:00 |       845.515 USDT   (42.23%) | -5,495.85902 |
|        | 1240/2000 |      318 |    180    0  138 |        0.89% |      5681.955 USDT  (142.05%) |        3:47:00 |       923.504 USDT   (46.13%) | -5,681.95469 |
|        | 1241/2000 |      192 |    120    0   72 |        1.50% |      5754.194 USDT  (143.85%) |        4:54:00 |       826.999 USDT   (41.31%) | -5,754.19417 |
|        | 1242/2000 |       97 |     74    0   23 |        1.63% |      3172.728 USDT   (79.32%) |        4:29:00 |       938.491 USDT   (46.88%) | -3,172.72805 |
|        | 1243/2000 |      144 |     97    0   47 |        2.26% |      6507.838 USDT  (162.70%) |        5:23:00 |       786.937 USDT   (39.31%) | -6,507.83804 |
|        | 1244/2000 |      173 |    108    0   65 |        1.33% |      4591.116 USDT  (114.78%) |        4:21:00 |       943.046 USDT   (47.11%) | -4,591.11588 |
|        | 1245/2000 |      190 |    111    0   79 |        1.32% |      5013.586 USDT  (125.34%) |        4:25:00 |      1213.858 USDT   (60.63%) | -5,013.58649 |
|        | 1246/2000 |      211 |    127    0   84 |        1.30% |      5477.315 USDT  (136.93%) |        4:11:00 |       959.652 USDT   (47.93%) | -5,477.31536 |
|        | 1247/2000 |      201 |    123    0   78 |        1.24% |      5001.214 USDT  (125.03%) |        4:11:00 |      1061.297 USDT   (53.01%) | -5,001.21385 |
|        | 1248/2000 |      208 |    134    0   74 |        1.53% |      6365.941 USDT  (159.15%) |        4:26:00 |       844.601 USDT   (42.19%) | -6,365.94111 |
|        | 1249/2000 |      167 |    106    0   61 |        1.60% |      5365.384 USDT  (134.13%) |        5:02:00 |       733.594 USDT   (36.64%) | -5,365.38378 |
|        | 1250/2000 |      235 |    145    0   90 |        1.09% |      5139.700 USDT  (128.49%) |        5:34:00 |       806.469 USDT   (40.28%) | -5,139.69955 |
|        | 1251/2000 |      232 |    144    0   88 |        1.18% |      5458.319 USDT  (136.46%) |        3:50:00 |       561.397 USDT   (28.04%) | -5,458.31949 |
|        | 1252/2000 |      291 |    171    0  120 |        0.92% |      5351.819 USDT  (133.80%) |        5:31:00 |       843.841 USDT   (42.15%) | -5,351.81911 |
|        | 1253/2000 |      205 |    129    0   76 |        1.28% |      5241.564 USDT  (131.04%) |        4:13:00 |      1198.409 USDT   (59.86%) | -5,241.56425 |
|        | 1254/2000 |      171 |    111    0   60 |        1.64% |      5621.097 USDT  (140.53%) |        4:16:00 |      1121.515 USDT   (56.02%) | -5,621.09682 |
|        | 1255/2000 |      229 |    135    0   94 |        1.31% |      6003.187 USDT  (150.08%) |        4:29:00 |      1115.684 USDT   (55.73%) | -6,003.18737 |
|        | 1256/2000 |      132 |     92    0   40 |        1.76% |      4644.893 USDT  (116.12%) |        4:23:00 |       699.352 USDT   (34.93%) | -4,644.89284 |
|        | 1257/2000 |      239 |    149    0   90 |        1.20% |      5734.785 USDT  (143.37%) |        5:49:00 |       862.874 USDT   (43.10%) | -5,734.78477 |
|        | 1258/2000 |      259 |    158    0  101 |        1.27% |      6565.698 USDT  (164.14%) |        4:02:00 |      1014.540 USDT   (50.68%) | -6,565.69824 |
|        | 1259/2000 |      241 |    152    0   89 |        1.35% |      6515.851 USDT  (162.90%) |        4:31:00 |       799.461 USDT   (39.93%) | -6,515.85120 |
|        | 1260/2000 |      141 |     89    0   52 |        1.51% |      4264.620 USDT  (106.62%) |        4:34:00 |      1238.905 USDT   (61.88%) | -4,264.61969 |
|        | 1261/2000 |      323 |    182    0  141 |        0.77% |      4957.281 USDT  (123.93%) |        5:26:00 |       951.580 USDT   (47.53%) | -4,957.28081 |
|        | 1262/2000 |      370 |    211    0  159 |        0.71% |      5287.442 USDT  (132.19%) |        5:18:00 |       963.246 USDT   (48.11%) | -5,287.44246 |
|        | 1263/2000 |      254 |    154    0  100 |        1.30% |      6630.401 USDT  (165.76%) |        4:12:00 |      1007.356 USDT   (50.32%) | -6,630.40145 |
|        | 1264/2000 |      174 |    109    0   65 |        1.64% |      5721.527 USDT  (143.04%) |        5:06:00 |       824.218 USDT   (41.17%) | -5,721.52722 |
|        | 1265/2000 |      228 |    141    0   87 |        1.25% |      5684.537 USDT  (142.11%) |        4:12:00 |      1080.443 USDT   (53.97%) | -5,684.53651 |
|        | 1266/2000 |      264 |    156    0  108 |        1.20% |      6355.264 USDT  (158.88%) |        4:06:00 |      1007.356 USDT   (50.32%) | -6,355.26385 |
|        | 1267/2000 |      196 |    118    0   78 |        1.27% |      5000.928 USDT  (125.02%) |        4:19:00 |       823.509 USDT   (41.13%) | -5,000.92750 |
|        | 1268/2000 |      278 |    159    0  119 |        0.75% |      4161.723 USDT  (104.04%) |        3:42:00 |      1216.245 USDT   (60.75%) | -4,161.72288 |
|        | 1269/2000 |      227 |    136    0   91 |        1.27% |      5760.371 USDT  (144.01%) |        4:40:00 |       843.146 USDT   (42.12%) | -5,760.37132 |
|        | 1270/2000 |      235 |    145    0   90 |        1.19% |      5597.780 USDT  (139.94%) |        4:15:00 |       792.048 USDT   (39.56%) | -5,597.77979 |
|        | 1271/2000 |      222 |    136    0   86 |        1.37% |      6067.481 USDT  (151.69%) |        4:29:00 |       895.342 USDT   (44.72%) | -6,067.48085 |
|        | 1272/2000 |      344 |    192    0  152 |        0.77% |      5319.848 USDT  (133.00%) |        3:47:00 |       923.504 USDT   (46.13%) | -5,319.84807 |
|        | 1273/2000 |      156 |    103    0   53 |        1.71% |      5351.413 USDT  (133.79%) |        5:09:00 |       769.283 USDT   (38.43%) | -5,351.41336 |
|        | 1274/2000 |      225 |    137    0   88 |        1.33% |      5968.523 USDT  (149.21%) |        4:34:00 |       787.217 USDT   (39.32%) | -5,968.52256 |
|        | 1275/2000 |      258 |    152    0  106 |        1.02% |      5285.525 USDT  (132.14%) |        3:51:00 |       937.009 USDT   (46.80%) | -5,285.52455 |
|        | 1276/2000 |      212 |    126    0   86 |        0.90% |      3807.192 USDT   (95.18%) |        4:02:00 |       938.491 USDT   (46.88%) | -3,807.19213 |
|        | 1277/2000 |      178 |    111    0   67 |        1.44% |      5116.751 USDT  (127.92%) |        5:07:00 |       859.819 USDT   (42.95%) | -5,116.75124 |
|        | 1278/2000 |      234 |    136    0   98 |        1.15% |      5380.657 USDT  (134.52%) |        4:14:00 |      1103.217 USDT   (55.11%) | -5,380.65704 |
|        | 1279/2000 |      211 |    126    0   85 |        1.23% |      5214.267 USDT  (130.36%) |        4:01:00 |      1126.570 USDT   (56.27%) | -5,214.26703 |
|        | 1280/2000 |      425 |    218    0  207 |        0.58% |      4943.910 USDT  (123.60%) |        3:32:00 |       985.703 USDT   (49.24%) | -4,943.90955 |
|        | 1281/2000 |      150 |    102    0   48 |        1.57% |      4719.954 USDT  (118.00%) |        4:15:00 |       689.127 USDT   (34.42%) | -4,719.95438 |
|        | 1282/2000 |      173 |    111    0   62 |        1.46% |      5062.148 USDT  (126.55%) |        4:22:00 |       800.893 USDT   (40.00%) | -5,062.14838 |
|        | 1283/2000 |      240 |    144    0   96 |        1.34% |      6451.071 USDT  (161.28%) |        4:04:00 |       761.423 USDT   (38.03%) | -6,451.07078 |
|        | 1284/2000 |      211 |    135    0   76 |        1.22% |      5138.787 USDT  (128.47%) |        3:55:00 |       699.998 USDT   (34.96%) | -5,138.78706 |
|        | 1285/2000 |      210 |    127    0   83 |        1.13% |      4755.432 USDT  (118.89%) |        4:28:00 |       762.914 USDT   (38.11%) | -4,755.43190 |
|        | 1286/2000 |      285 |    160    0  125 |        0.72% |      4108.222 USDT  (102.71%) |        3:57:00 |      1025.359 USDT   (51.22%) | -4,108.22202 |
|        | 1287/2000 |      250 |    159    0   91 |        1.03% |      5135.272 USDT  (128.38%) |        3:50:00 |       808.440 USDT   (40.38%) | -5,135.27179 |
|        | 1288/2000 |      229 |    140    0   89 |        1.33% |      6074.718 USDT  (151.87%) |        4:22:00 |      1007.940 USDT   (50.35%) | -6,074.71752 |
|        | 1289/2000 |      291 |    167    0  124 |        1.10% |      6437.182 USDT  (160.93%) |        4:12:00 |       918.668 USDT   (45.89%) | -6,437.18207 |
|        | 1290/2000 |      179 |    111    0   68 |        1.52% |      5453.061 USDT  (136.33%) |        4:48:00 |       824.218 USDT   (41.17%) | -5,453.06061 |
|        | 1291/2000 |      325 |    153    0  172 |       -0.05% |      -293.818 USDT   (-7.35%) |        7:43:00 |      1316.636 USDT   (65.77%) |    293.81781 |
|        | 1292/2000 |      170 |    104    0   66 |        1.32% |      4507.218 USDT  (112.68%) |        4:48:00 |       852.095 USDT   (42.56%) | -4,507.21836 |
|        | 1293/2000 |      303 |    134    0  169 |       -0.22% |     -1308.207 USDT  (-32.71%) |        7:52:00 |      1903.560 USDT   (95.08%) |  1,308.20657 |
|        | 1294/2000 |      297 |    163    0  134 |        0.69% |      4073.288 USDT  (101.83%) |        5:06:00 |      1080.131 USDT   (53.95%) | -4,073.28800 |
|        | 1295/2000 |      323 |    192    0  131 |        0.92% |      5932.264 USDT  (148.31%) |        4:52:00 |       644.722 USDT   (32.20%) | -5,932.26416 |
|        | 1296/2000 |      267 |    159    0  108 |        1.30% |      6961.533 USDT  (174.04%) |        4:17:00 |       844.899 USDT   (42.20%) | -6,961.53324 |
|        | 1297/2000 |      212 |    127    0   85 |        1.34% |      5695.795 USDT  (142.39%) |        4:39:00 |      1007.940 USDT   (50.35%) | -5,695.79499 |
